user_id,signup_date,city,age,acquisition_channel,device_type,kyc_status
1,2024-03-06,Pune,21,Referral,iOS,Pending
2,2025-07-18,Chennai,58,Google,iOS,Pending
3,2025-04-22,Delhi,39,Affiliate,iOS,Completed
4,2024-11-16,Bengaluru,59,Referral,Android,Pending
5,2024-11-12,Bengaluru,35,Referral,Android,Completed
6,2025-09-18,Mumbai,52,Google,iOS,Pending
7,2024-03-03,Delhi,31,Referral,iOS,Completed
8,2025-05-24,Pune,36,Referral,Android,Completed
9,2024-05-27,Bengaluru,32,Meta,Android,Completed
10,2024-03-09,Hyderabad,40,Meta,iOS,Completed
11,2025-01-19,Delhi,27,Referral,iOS,Completed
12,2025-12-13,Bengaluru,39,Affiliate,Android,Completed
13,2025-06-21,Hyderabad,53,Affiliate,Android,Completed
14,2025-07-09,Chennai,24,Google,Android,Completed
15,2025-06-07,Pune,51,Affiliate,iOS,Completed
16,2025-07-27,Hyderabad,53,Google,Android,Completed
17,2025-01-09,Mumbai,19,Google,iOS,Completed
18,2024-04-03,Pune,46,Organic,iOS,Completed
19,2025-09-05,Mumbai,38,Referral,Android,Completed
20,2024-11-24,Chennai,44,Meta,Android,Completed
21,2024-12-31,Pune,30,Affiliate,iOS,Completed
22,2024-09-27,Bengaluru,27,Affiliate,iOS,Completed
23,2024-05-13,Pune,30,Meta,Android,Completed
24,2025-11-07,Mumbai,24,Google,iOS,Completed
25,2025-07-24,Delhi,35,Organic,Android,Completed
26,2025-04-15,Mumbai,54,Affiliate,Android,Completed
27,2024-10-20,Bengaluru,50,Google,Android,Completed
28,2025-08-23,Chennai,25,Organic,Android,Pending
29,2025-02-02,Delhi,41,Google,Android,Completed
30,2024-11-19,Hyderabad,21,Affiliate,iOS,Completed
31,2024-11-24,Delhi,20,Organic,Android,Completed
32,2024-06-14,Chennai,44,Referral,iOS,Completed
33,2024-03-08,Pune,30,Meta,Android,Completed
34,2025-02-08,Hyderabad,47,Affiliate,iOS,Completed
35,2025-10-10,Bengaluru,24,Meta,iOS,Pending
36,2024-02-16,Mumbai,23,Meta,Android,Completed
37,2025-09-18,Delhi,48,Meta,Android,Completed
38,2025-08-27,Bengaluru,26,Referral,iOS,Pending
39,2024-07-21,Mumbai,20,Organic,iOS,Completed
40,2025-04-06,Mumbai,51,Organic,Android,Completed
41,2024-04-30,Pune,47,Meta,Android,Completed
42,2025-07-07,Delhi,57,Google,Android,Pending
43,2025-05-26,Pune,43,Organic,iOS,Completed
44,2024-09-15,Hyderabad,38,Referral,iOS,Completed
45,2024-02-19,Hyderabad,46,Referral,Android,Completed
46,2025-12-09,Pune,51,Organic,iOS,Completed
47,2024-11-21,Chennai,44,Organic,Android,Completed
48,2025-10-13,Mumbai,31,Referral,Android,Completed
49,2025-05-09,Mumbai,55,Meta,iOS,Completed
50,2025-07-22,Hyderabad,47,Google,iOS,Completed
51,2025-07-08,Bengaluru,54,Meta,iOS,Completed
52,2024-05-22,Bengaluru,41,Google,Android,Completed
53,2024-09-22,Bengaluru,36,Organic,Android,Completed
54,2024-12-06,Chennai,53,Referral,Android,Completed
55,2024-12-29,Delhi,43,Referral,iOS,Completed
56,2024-02-01,Bengaluru,50,Organic,iOS,Completed
57,2025-02-02,Chennai,55,Google,Android,Completed
58,2024-04-22,Hyderabad,29,Referral,iOS,Completed
59,2025-06-26,Chennai,26,Referral,Android,Completed
60,2025-05-13,Bengaluru,24,Affiliate,Android,Completed
61,2025-11-04,Pune,43,Referral,iOS,Pending
62,2025-06-27,Mumbai,51,Organic,iOS,Completed
63,2024-09-24,Hyderabad,59,Google,Android,Pending
64,2025-12-07,Hyderabad,19,Google,Android,Completed
65,2024-10-26,Mumbai,18,Affiliate,iOS,Completed
66,2024-08-25,Delhi,46,Organic,Android,Pending
67,2025-10-23,Bengaluru,29,Google,iOS,Completed
68,2024-09-27,Delhi,37,Meta,Android,Pending
69,2024-02-25,Chennai,21,Google,Android,Completed
70,2024-12-08,Mumbai,21,Referral,iOS,Completed
71,2025-08-03,Hyderabad,40,Organic,Android,Pending
72,2024-05-18,Pune,46,Affiliate,Android,Completed
73,2024-12-03,Mumbai,55,Meta,Android,Completed
74,2024-04-04,Mumbai,38,Google,Android,Completed
75,2025-05-16,Bengaluru,45,Affiliate,Android,Pending
76,2024-12-13,Hyderabad,54,Organic,iOS,Completed
77,2024-08-29,Mumbai,36,Meta,Android,Completed
78,2024-06-14,Pune,26,Organic,Android,Completed
79,2025-02-16,Mumbai,52,Meta,iOS,Completed
80,2025-05-03,Hyderabad,18,Google,Android,Completed
81,2025-11-17,Mumbai,29,Referral,Android,Completed
82,2024-11-15,Mumbai,23,Meta,Android,Completed
83,2024-04-27,Mumbai,45,Referral,iOS,Completed
84,2025-08-30,Hyderabad,29,Affiliate,iOS,Completed
85,2025-04-04,Bengaluru,32,Affiliate,Android,Completed
86,2025-05-26,Bengaluru,45,Google,Android,Completed
87,2024-03-11,Hyderabad,30,Meta,Android,Completed
88,2024-08-16,Hyderabad,33,Referral,Android,Completed
89,2025-07-14,Mumbai,38,Organic,iOS,Completed
90,2025-08-30,Delhi,22,Meta,iOS,Completed
91,2024-11-13,Delhi,57,Meta,Android,Completed
92,2025-08-10,Chennai,59,Affiliate,Android,Completed
93,2025-09-06,Delhi,47,Organic,iOS,Completed
94,2024-10-09,Pune,22,Affiliate,Android,Completed
95,2025-10-17,Mumbai,37,Google,iOS,Completed
96,2024-07-29,Mumbai,32,Affiliate,iOS,Completed
97,2024-06-23,Delhi,24,Referral,iOS,Completed
98,2025-05-13,Bengaluru,54,Meta,iOS,Pending
99,2025-04-09,Chennai,35,Organic,iOS,Completed
100,2024-04-12,Delhi,45,Google,iOS,Completed
101,2025-08-30,Delhi,47,Referral,iOS,Completed
102,2024-05-25,Hyderabad,31,Google,Android,Completed
103,2025-08-10,Bengaluru,32,Referral,iOS,Completed
104,2024-01-06,Delhi,58,Google,Android,Completed
105,2025-08-04,Pune,52,Organic,iOS,Completed
106,2025-07-28,Hyderabad,39,Referral,Android,Pending
107,2025-07-23,Hyderabad,40,Affiliate,iOS,Completed
108,2025-04-30,Hyderabad,18,Affiliate,iOS,Completed
109,2024-12-10,Delhi,26,Meta,Android,Completed
110,2025-05-29,Pune,18,Referral,iOS,Completed
111,2024-07-21,Pune,51,Referral,iOS,Completed
112,2025-07-23,Delhi,57,Meta,Android,Pending
113,2025-02-09,Pune,24,Organic,Android,Completed
114,2024-12-01,Bengaluru,29,Google,iOS,Completed
115,2025-01-04,Mumbai,32,Google,iOS,Completed
116,2025-02-19,Mumbai,52,Referral,Android,Completed
117,2024-01-28,Chennai,35,Google,Android,Completed
118,2024-04-12,Hyderabad,19,Google,iOS,Pending
119,2024-06-28,Delhi,42,Affiliate,iOS,Completed
120,2024-03-24,Mumbai,24,Organic,iOS,Completed
121,2024-11-16,Hyderabad,45,Referral,iOS,Completed
122,2025-05-02,Mumbai,53,Organic,Android,Completed
123,2025-04-22,Delhi,20,Google,Android,Completed
124,2024-12-09,Delhi,59,Affiliate,Android,Completed
125,2025-09-16,Pune,45,Affiliate,Android,Completed
126,2025-02-16,Chennai,20,Google,Android,Pending
127,2024-02-27,Mumbai,27,Organic,Android,Completed
128,2025-07-12,Pune,25,Affiliate,Android,Completed
