experiment_id,user_id,variant,conversion_flag
1,2577,Treatment,0
2,18928,Treatment,0
3,9075,Control,0
4,20271,Control,0
5,6747,Treatment,0
6,9856,Control,0
7,20220,Treatment,0
8,22717,Control,1
9,20691,Control,1
10,1318,Control,1
11,3417,Treatment,0
12,20201,Treatment,0
13,13836,Treatment,0
14,17456,Treatment,0
15,531,Treatment,1
16,19824,Treatment,0
17,7791,Control,0
18,23718,Control,0
19,23166,Control,0
20,12132,Control,0
21,17415,Treatment,0
22,24494,Control,0
23,15707,Control,0
24,9537,Control,0
25,10579,Treatment,0
26,11663,Treatment,0
27,13792,Treatment,0
28,15924,Control,0
29,13048,Control,1
30,8590,Treatment,0
31,20423,Treatment,0
32,21999,Control,0
33,20510,Control,0
34,15377,Control,0
35,21842,Treatment,0
36,15605,Treatment,1
37,1866,Treatment,0
38,3129,Control,0
39,3020,Treatment,0
40,17480,Treatment,0
41,11377,Control,0
42,14863,Control,0
43,19602,Control,0
44,14365,Control,0
45,8816,Control,0
46,8938,Treatment,0
47,22648,Treatment,0
48,10012,Treatment,0
49,19667,Control,0
50,22081,Control,0
51,13341,Control,0
52,21833,Treatment,0
53,11518,Control,0
54,17160,Treatment,0
55,12041,Treatment,0
56,22564,Treatment,0
57,9747,Treatment,0
58,24824,Control,0
59,3837,Treatment,0
60,22399,Treatment,0
61,17373,Treatment,1
62,13581,Control,0
63,13669,Control,0
64,13547,Control,0
65,17618,Treatment,0
66,12380,Control,0
67,19218,Treatment,1
68,8931,Treatment,0
69,1532,Control,0
70,14749,Treatment,0
71,7414,Control,0
72,20267,Treatment,1
73,14295,Treatment,0
74,9687,Treatment,0
75,17547,Treatment,0
76,18884,Control,0
77,9039,Control,0
78,19036,Control,0
79,370,Treatment,1
80,19221,Control,1
81,15504,Treatment,1
82,1653,Control,0
83,16099,Treatment,0
84,19067,Treatment,0
85,23315,Treatment,0
86,13146,Control,0
87,13411,Treatment,0
88,6055,Control,0
89,22423,Control,0
90,4718,Control,0
91,24908,Control,0
92,1946,Control,0
93,6336,Control,0
94,5139,Treatment,0
95,24925,Treatment,0
96,18674,Control,0
97,20032,Control,0
98,6916,Treatment,0
99,11868,Control,0
100,12648,Treatment,0
101,15267,Treatment,0
102,17320,Treatment,0
103,9632,Treatment,0
104,19954,Control,0
105,16991,Control,0
106,10103,Control,0
107,663,Treatment,0
108,21078,Treatment,0
109,5779,Control,0
110,968,Treatment,0
111,19296,Treatment,0
112,12252,Treatment,0
113,16427,Treatment,0
114,19997,Treatment,0
115,4996,Control,0
116,91,Control,0
117,23371,Treatment,0
118,10733,Treatment,0
119,189,Treatment,0
120,19451,Treatment,0
121,22569,Control,0
122,13823,Treatment,0
123,22993,Control,0
124,23922,Control,0
125,9867,Control,0
126,17612,Control,0
127,24932,Treatment,0
128,14739,Control,1
129,7863,Treatment,0
130,17154,Control,0
131,2826,Control,0
132,781,Treatment,0
133,23716,Control,0
134,18686,Treatment,0
135,12402,Control,1
136,511,Treatment,0
137,5753,Treatment,0
138,23879,Treatment,0
139,2622,Control,1
140,22746,Treatment,0
141,10248,Treatment,0
142,24838,Control,0
143,15470,Treatment,0
144,4082,Treatment,0
145,19211,Control,0
146,6512,Control,0
147,21109,Control,0
148,21894,Treatment,0
149,14836,Treatment,0
150,10446,Control,0
151,11541,Treatment,0
152,19260,Control,0
153,144,Control,0
154,874,Control,1
155,13834,Treatment,0
156,13273,Treatment,0
157,23893,Control,0
158,6062,Treatment,0
159,16136,Control,1
160,12280,Treatment,0
161,13554,Control,0
162,17518,Control,0
163,22999,Control,0
164,19442,Treatment,1
165,13716,Treatment,0
166,14176,Treatment,0
167,5224,Treatment,0
168,24422,Treatment,0
169,17639,Treatment,0
170,16194,Treatment,0
171,4033,Treatment,0
172,6388,Treatment,0
173,8609,Treatment,0
174,10002,Treatment,0
175,16935,Control,0
176,23041,Control,0
177,7037,Treatment,0
178,17073,Treatment,0
179,14062,Control,0
180,14331,Treatment,0
181,14904,Treatment,0
182,13629,Treatment,0
183,6172,Control,0
184,12604,Control,0
185,4961,Treatment,0
186,13546,Treatment,0
187,19913,Control,0
188,5283,Control,0
189,13821,Control,0
190,17116,Control,0
191,23670,Control,0
192,12398,Treatment,0
193,2010,Treatment,0
194,7501,Treatment,0
195,9267,Control,0
196,22730,Control,0
197,5220,Control,0
198,23197,Control,1
199,14764,Treatment,0
200,19184,Control,1
201,12326,Treatment,0
202,5869,Treatment,0
203,14915,Control,0
204,8142,Control,0
205,19094,Control,0
206,16979,Treatment,0
207,14839,Control,0
208,13023,Treatment,0
209,4322,Control,1
210,10695,Treatment,0
211,18770,Treatment,0
212,20405,Treatment,0
213,17358,Control,0
214,2113,Treatment,0
215,7169,Control,0
216,14251,Control,0
217,9555,Control,0
218,9421,Treatment,0
219,12789,Control,0
220,17419,Control,0
221,13009,Control,0
222,17464,Treatment,0
223,24499,Control,1
224,8483,Treatment,0
225,5652,Treatment,0
226,16416,Control,0
227,5166,Control,0
228,17287,Treatment,0
229,17314,Treatment,1
230,10199,Treatment,0
231,22726,Treatment,0
232,10358,Treatment,0
233,19590,Treatment,0
234,2107,Control,0
235,8879,Treatment,0
236,3018,Treatment,0
237,9732,Treatment,0
238,9492,Control,0
239,11303,Control,0
240,8399,Control,0
241,2229,Treatment,0
242,5589,Control,0
243,12918,Control,0
244,6374,Control,0
245,4616,Treatment,0
246,2676,Treatment,0
247,11659,Treatment,0
248,11375,Control,0
249,23263,Control,0
250,18119,Treatment,0
251,21224,Treatment,0
252,5138,Control,0
253,2095,Control,0
254,4300,Control,0
255,20432,Treatment,0
256,13611,Treatment,0
257,20155,Treatment,0
258,4798,Control,0
259,5588,Treatment,0
260,9275,Control,0
261,11312,Control,0
262,3306,Control,0
263,12287,Treatment,0
264,10486,Treatment,0
265,10156,Control,0
266,89,Control,0
267,5891,Control,0
268,12188,Control,0
269,14374,Control,0
270,9064,Control,0
271,20212,Control,0
272,11924,Treatment,0
273,18125,Control,0
274,10483,Treatment,0
275,3511,Treatment,0
276,9616,Control,0
277,9588,Control,0
278,12270,Control,0
279,16723,Treatment,1
280,22865,Control,0
281,10145,Control,0
282,12505,Control,0
283,10063,Treatment,0
284,10198,Control,0
285,16258,Control,0
286,13295,Treatment,0
287,10693,Treatment,0
288,13371,Control,0
289,18225,Treatment,0
290,24842,Control,0
291,1872,Control,0
292,4987,Control,0
293,5012,Treatment,0
294,5935,Control,1
295,472,Treatment,0
296,1969,Control,0
297,11291,Treatment,0
298,19665,Treatment,0
299,21251,Control,0
300,17775,Control,1
301,16216,Treatment,0
302,17344,Control,0
303,20615,Control,0
304,11564,Control,0
305,17725,Treatment,0
306,253,Control,0
307,6390,Control,1
308,14775,Control,0
309,6197,Control,0
310,11295,Control,0
311,17927,Control,0
312,118,Treatment,0
313,9966,Treatment,0
314,8515,Treatment,0
315,15604,Treatment,0
316,16890,Control,0
317,6699,Treatment,1
318,3939,Treatment,0
319,14389,Control,1
320,12639,Treatment,0
321,12212,Control,0
322,1107,Treatment,0
323,21029,Control,1
324,7305,Treatment,1
325,8603,Control,0
326,17908,Treatment,0
327,9148,Control,0
328,24468,Treatment,0
329,5770,Control,0
330,246,Control,0
331,17133,Control,0
332,10640,Control,0
333,5781,Treatment,0
334,15998,Treatment,0
335,10654,Control,0
